tag_name,doc_name,pnum,query_granularity,corpus_granularity,n_tagged,n_shared_best,noise_best,l2_distance,n_grid_points
CI Exclusion Prior Knowledge,SRT NDA Master Template (OTPP Markup v2).docx,19,paragraph,chunk,64,2,0.2,3.2917500041559955,15
CI Exclusion Prior Knowledge,SRT NDA Master Template (OTPP Markup v2).docx,19,paragraph,paragraph,7,1,0.1,2.5976723143726947,13
CI Exclusion Prior Knowledge,SRT NDA Master Template (OTPP Markup v2).docx,19,paragraph,sentence,7,2,0.2,1.9902026492122666,8
CI Exclusion Prior Knowledge,SRT NDA Master Template (OTPP Markup v2).docx,19,sentence,chunk,64,3,0.1,2.7920954717321513,11
CI Exclusion Prior Knowledge,SRT NDA Master Template (OTPP Markup v2).docx,19,sentence,paragraph,7,1,0.1,2.1092756906808643,9
CI Exclusion Prior Knowledge,SRT NDA Master Template (OTPP Markup v2).docx,19,sentence,sentence,7,8,0.2,1.0887257902077025,7
CI Exclusion Public Domain,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,chunk,43,10,0.2,0.9111896221679927,4
CI Exclusion Public Domain,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,paragraph,8,1,0.2,1.3569871759103493,5
CI Exclusion Public Domain,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,sentence,8,1,0.2,1.0575665612772251,5
CI Exclusion Public Domain,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,chunk,43,10,0.2,2.096791969866486,12
CI Exclusion Public Domain,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,paragraph,8,2,0.2,0.8483137418742512,13
CI Exclusion Public Domain,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,sentence,8,10,0.2,0.4728625240203442,5
CI Exclusion Public Domain,Project Greenlight - KHLP3 - OTPP NDA.docx,21,paragraph,chunk,58,7,0.1,3.370549746196112,13
CI Exclusion Public Domain,Project Greenlight - KHLP3 - OTPP NDA.docx,21,paragraph,paragraph,8,10,0.2,0.7453908829244603,4
CI Exclusion Public Domain,Project Greenlight - KHLP3 - OTPP NDA.docx,21,paragraph,sentence,8,10,0.2,0.6556689652417277,4
CI Exclusion Public Domain,Project Greenlight - KHLP3 - OTPP NDA.docx,21,sentence,chunk,58,7,0.1,2.737550691284208,12
CI Exclusion Public Domain,Project Greenlight - KHLP3 - OTPP NDA.docx,21,sentence,paragraph,8,10,0.2,1.3003371339460954,5
CI Exclusion Public Domain,Project Greenlight - KHLP3 - OTPP NDA.docx,21,sentence,sentence,8,10,0.2,0.6806338134287231,4
CI Exclusion Public Domain,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,chunk,56,10,0.2,1.3829296206615342,5
CI Exclusion Public Domain,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,paragraph,8,1,0.2,1.536540999682564,5
CI Exclusion Public Domain,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,sentence,8,2,0.2,1.8360327502364078,5
CI Exclusion Public Domain,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,chunk,56,8,0.2,1.7195914540988948,7
CI Exclusion Public Domain,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,paragraph,8,1,0.2,1.9292464092880417,5
CI Exclusion Public Domain,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,sentence,8,1,0.2,1.5062244571304073,4
CI Exclusion Public Domain,SRT NDA Master Template (OTPP Markup v2).docx,19,paragraph,chunk,62,2,0.2,3.2917500041559955,15
CI Exclusion Public Domain,SRT NDA Master Template (OTPP Markup v2).docx,19,paragraph,paragraph,8,1,0.1,2.5976723143726947,13
CI Exclusion Public Domain,SRT NDA Master Template (OTPP Markup v2).docx,19,paragraph,sentence,8,2,0.2,1.9902026492122666,8
CI Exclusion Public Domain,SRT NDA Master Template (OTPP Markup v2).docx,19,sentence,chunk,62,3,0.1,2.6593776646148535,8
CI Exclusion Public Domain,SRT NDA Master Template (OTPP Markup v2).docx,19,sentence,paragraph,8,2,0.2,2.2675876851801084,8
CI Exclusion Public Domain,SRT NDA Master Template (OTPP Markup v2).docx,19,sentence,sentence,8,2,0.2,0.9415882419228575,6
CI Exclusion Third Party Receipt,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,chunk,47,10,0.2,0.9111896221679927,4
CI Exclusion Third Party Receipt,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,paragraph,7,1,0.2,1.3569871759103493,5
